"Region";"TariffItem";"UnitOfMeasure";"StartDate";"EndDate";"MeasureDeviceAvail";"StoveType";"ConsumptionTime";"ConsumptionTarget";"Agency";"TariffValue";"global_id";
"Регион";"Предмет тарифа";"Единицы измерения";"Дата начала действия тарифа";"Дата окончания действия тарифа";"Наличие приборов учета";"Тип кухонной плиты";"Время потребления";"Цель потребления";"Организация, оказывающая услуги";"Значение тарифа";"global_id";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ФКУЗ «Санаторий «Ватутинки» МВД РФ";"1509.04";"842422870";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"31.12.2018";"да/нет";"";"";"";"ФГБУ «ОК «Бор» по объекту «ОК «Пахра»";"1842.65";"842422917";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"31.12.2018";"да/нет";"";"";"";"ООО «Геруда»";"2160.46";"842422958";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"АО «Инвесттраст»";"1624.95";"842423199";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"АО «Инвесттраст»";"1750.22";"842423221";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «Теплосервис»";"1386.19";"842423274";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «Теплосервис»";"1338.88";"842423308";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"АО «ТЭП»";"1727.46";"842423415";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"АО «ТЭП»";"1772.45";"842423450";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «КОТБУТ»";"2395.58";"842423499";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «КОТБУТ»";"2416.19";"842423526";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «Визит-Москва« филиал Пансионат «Чайка»";"2083.07";"842423581";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «Визит-Москва« филиал Пансионат «Чайка»";"2086";"842423608";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ГБУСО МО «Центр социально-медицинской реабилитации инвалидов и ветеранов боевых действий «Ясенки»";"2018.53";"842423657";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ГБУСО МО «Центр социально-медицинской реабилитации инвалидов и ветеранов боевых действий «Ясенки»";"2170.76";"842423687";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ФГКУ дом отдыха «Подмосковные вечера» Федеральной службы безопасности Российской Федерации";"1712.16";"842423805";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ФГКУ дом отдыха «Подмосковные вечера» Федеральной службы безопасности Российской Федерации";"1872.86";"842423845";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «Декор»";"1699.5";"842423905";
