"Region";"TariffItem";"UnitOfMeasure";"StartDate";"EndDate";"MeasureDeviceAvail";"StoveType";"ConsumptionTime";"ConsumptionTarget";"Agency";"TariffValue";"global_id";
"Регион";"Предмет тарифа";"Единицы измерения";"Дата начала действия тарифа";"Дата окончания действия тарифа";"Наличие приборов учета";"Тип кухонной плиты";"Время потребления";"Цель потребления";"Организация, оказывающая услуги";"Значение тарифа";"global_id";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Сосенское, поселение Десеновское, поселение Филимонковское, поселение Внуковское, поселение «Мосрентген», поселение Московский, поселение Воскресенское";"1703.37";"19693172";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Щербинка";"1524.91";"19693173";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Щербинка";"1646.9";"19693174";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Кленовское";"1588.75";"19693175";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Краснопахорское, поселение Вороновское, поселение Роговское, поселение Михайлово-Ярцевское";"1812.57";"19693176";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Киевский, поселение Новофедоровское, поселение Кокошкино, поселение Первомайское, поселение Марушкинское";"2015.32";"19693177";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселок подсобного хозяйства Минзаг поселения Краснопахорское";"1993.96";"19693178";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселок подсобного хозяйства Минзаг поселения Краснопахорское";"2153.48";"19693179";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «МОЭК» по системам централизованного теплоснабжения на территории: поселение Щаповское";"1588.75";"19693180";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ФБУ «Санаторий «Вороново» Министерства экономического развития Российской Федерации»";"1157.58";"19693181";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ФБУ «Санаторий «Вороново» Министерства экономического развития Российской Федерации»";"1250.19";"19693182";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «Троицкая камвольная фабрика»";"1169.97";"19693183";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «Троицкая камвольная фабрика»";"1263.57";"19693184";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ЗАО «Санаторий «Ерино»";"1183.19";"19693185";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «Мосагронаучприбор»";"1193.69";"19693186";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «Мосагронаучприбор»";"1289.19";"19693187";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ФКУ Федеральной миграционной службы «Центр медико-психологической реабилитации вынужденных переселенцев «Ватутинки-1»";"1211.62";"19693188";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ФКУ Федеральной миграционной службы «Центр медико-психологической реабилитации вынужденных переселенцев «Ватутинки-1»";"1308.55";"19693189";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «Клинический санаторий Главмосстроя Валуево»";"1304.37";"19693190";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «Клинический санаторий Главмосстроя Валуево»";"1321.25";"19693191";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ФГУП «Агропромышленный комплекс «Воскресенский» Управления делами Президента Российской Федерации";"1429.25";"19693192";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ФГАОУ ВПО «Национальный исследовательский технологический университет «МИСиС»";"1391.57";"19693193";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ФГАОУ ВПО «Национальный исследовательский технологический университет «МИСиС»";"1502.9";"19693194";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"МУП «Троицктеплоэнерго»";"1530.8";"19693195";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ГБУ города Москвы Психоневрологический интернат № 5 Департамента социальной защиты населения города Москвы";"1452.34";"19693196";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ГБУ города Москвы Психоневрологический интернат № 5 Департамента социальной защиты населения города Москвы";"1550.02";"19693197";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ООО «РегионЭнергоСервис»";"1561.02";"19693198";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2013";"30.06.2013";"да";"";"";"";"ОАО «Теплоэнергетическая инвестиционная компания»";"1576.24";"19693199";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «Теплоэнергетическая инвестиционная компания»";"1702.34";"19693200";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"Филиал ООО «Газпром трансгаз Москва» Управление по эксплуатации делового центра";"1772.31";"19693201";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2013";"31.12.2013";"да";"";"";"";"ОАО «Курорт Михайловское»";"1797.41";"19693202";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2007";"31.12.2007";"да";"электрическая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"1.47";"19693203";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2010";"31.12.2010";"да";"электрическая";"с 10:00 по 17:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.04";"19693204";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома с водопроводом, канализацией, без ванн, с газопроводом";"МГУП «Мосводоканал»";"36.9";"19693205";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"открытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"МГУП «Мосводоканал»";"56";"19693206";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"открытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, канализацией, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"35.4";"19693207";
"город Москва";"Холодное водоснабжение";"руб/кв.м";"01.01.2006";"31.12.2006";"нет";"";"";"вода из водозаборных колонок на поливку посадок на приусадебных участках в течение поливочного сезона";"МГУП «Мосводоканал»";"1.3";"19693208";
"город Москва";"Водоотведение";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с многоточечными газовыми нагревателями";"МГУП «Мосводоканал»";"66.6";"19693209";
"город Москва";"Водоотведение";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"49.3";"19693210";
"город Москва";"Водоотведение";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"открытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"МГУП «Мосводоканал»";"78.8";"19693211";
"город Москва";"Водоотведение";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"открытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, канализацией, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"49.3";"19693212";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2006";"31.12.2006";"да";"электрическая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"1.3";"19693213";
"город Москва";"Газ";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"при наличии в квартире газовой плиты и централизованного горячего водоснабжения";"ООО «Мосрегионгаз»";"14.1";"19693214";
"город Москва";"Газ";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"при наличии в квартире газовой плиты и газового водонагревателя (при отсутствии централизованного горячего водоснабжения)";"ООО «Мосрегионгаз»";"35.4";"19693215";
"город Москва";"Газ";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"при наличии в квартире газовой плиты и отсутствии централизованного горячего водоснабжения и газового водонагревателя";"ООО «Мосрегионгаз»";"17.7";"19693216";
"город Москва";"Твердое топливо";"руб/т";"01.01.2006";"31.12.2006";"нет";"";"";"твердое топливо (уголь), используемое населением, проживающим в домах с печным отоплением";"ОАО «Мосгаз»";"447";"19693217";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2007";"31.12.2007";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом с газовыми нагревателями у ванн";"МГУП «Мосводоканал»";"92.8";"19693218";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2007";"31.12.2007";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"42.9";"19693219";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2007";"31.12.2007";"нет";"";"";"открытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"МГУП «Мосводоканал»";"67.8";"19693220";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2007";"31.12.2007";"нет";"";"";"открытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, канализацией, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"42.9";"19693221";
"город Москва";"Водоотведение";"руб/чел";"01.01.2007";"31.12.2007";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с многоточечными газовыми нагревателями";"МГУП «Мосводоканал»";"76.7";"19693222";
"город Москва";"Водоотведение";"руб/чел";"01.01.2007";"31.12.2007";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом с газовыми нагревателями у ванн";"МГУП «Мосводоканал»";"73.6";"19693223";
"город Москва";"Водоотведение";"руб/чел";"01.01.2007";"31.12.2007";"нет";"";"";"открытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"МГУП «Мосводоканал»";"90.9";"19693224";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2007";"31.12.2007";"да";"газовая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.08";"19693225";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2007";"31.12.2007";"да";"электрическая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.37";"19693226";
"город Москва";"Отопление";"руб/кв.м";"01.01.2007";"31.12.2007";"нет";"";"";"у слуги отопления для граждан: нанимателей жилых помещений за общую площадь жилого помещения, занимаемую в пределах установленных норм; имеющих в собственности единственное жилое помещение и зарегистрированных в нем, за общую площадь жилого помещения, занимаемую в пределах установленных норм";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"9.9";"19693227";
"город Москва";"Горячее водоснабжение";"руб/чел";"01.01.2007";"31.12.2007";"нет";"";"";"жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"228.7";"19693228";
"город Москва";"Холодное водоснабжение";"руб/куб.м";"01.01.2008";"31.12.2008";"да";"";"";"";"МГУП «Мосводоканал»";"11.8";"19693229";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"МГУП «Мосводоканал»";"81.84";"19693230";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом с газовыми нагревателями у ванн";"МГУП «Мосводоканал»";"111.98";"19693231";
"город Москва";"Водоотведение";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"66.52";"19693232";
"город Москва";"Водоотведение";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома с водопроводом, канализацией, без ванн, с газопроводом";"МГУП «Мосводоканал»";"41.58";"19693233";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2008";"31.12.2008";"да";"газовая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.37";"19693234";
"город Москва";"Отопление";"руб/кв.м";"01.01.2008";"31.12.2008";"нет";"";"";"у слуги отопления для граждан: нанимателей жилых помещений за общую площадь жилого помещения, занимаемую в пределах установленных норм; имеющих в собственности единственное жилое помещение и зарегистрированных в нем, за общую площадь жилого помещения, занимаемую в пределах установленных норм";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"11.8";"19693235";
"город Москва";"Газ";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"при наличии в квартире газовой плиты и отсутствии централизованного горячего водоснабжения и газового водонагревателя";"ООО «Мосрегионгаз»";"24.3";"19693236";
"город Москва";"Газ";"руб/куб.м";"01.01.2008";"31.12.2008";"да/нет";"";"";"на приготовление пищи и горячее водоснабжение (подогрев воды при отсутствии централизованного горячего водоснабжения)";"ООО «Мосрегионгаз»";"2.34";"19693237";
"город Москва";"Холодное водоснабжение";"руб/куб.м";"01.01.2009";"31.12.2009";"да";"";"";"";"МГУП «Мосводоканал»";"15.45";"19693238";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2009";"31.12.2009";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом с газовыми нагревателями у ванн";"МГУП «Мосводоканал»";"146.62";"19693239";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2009";"31.12.2009";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"67.76";"19693240";
"город Москва";"Холодное водоснабжение";"руб/кв.м";"01.01.2009";"31.12.2009";"нет";"";"";"вода из водозаборных колонок на поливку посадок на приусадебных участках в течение поливочного сезона";"МГУП «Мосводоканал»";"2.47";"19693241";
"город Москва";"Водоотведение";"руб/чел";"01.01.2009";"31.12.2009";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с многоточечными газовыми нагревателями";"МГУП «Мосводоканал»";"111.91";"19693242";
"город Москва";"Водоотведение";"руб/чел";"01.01.2009";"31.12.2009";"нет";"";"";"открытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"МГУП «Мосводоканал»";"132.57";"19693243";
"город Москва";"Холодное водоснабжение";"руб/куб.м";"01.01.2006";"31.12.2006";"да";"";"";"";"МГУП «Мосводоканал»";"7.85";"19693244";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2006";"31.12.2006";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с многоточечными газовыми нагревателями";"МГУП «Мосводоканал»";"79.7";"19693245";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2006";"31.12.2006";"да";"газовая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.46";"19693246";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2006";"31.12.2006";"да";"электрическая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.32";"19693247";
"город Москва";"Отопление";"руб/кв.м";"01.03.2006";"31.12.2006";"нет";"";"";"";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"8.4";"19693248";
"город Москва";"Отопление";"руб/кв.м";"01.03.2006";"31.12.2006";"нет";"";"";"услуги отопления для граждан: нанимателей и собственников жилых помещений за общую площадь жилого помещения, превышающую установленную норму; нанимателей и собственников жилого помещения, имеющих более одного жилого помещения";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"12.1";"19693249";
"город Москва";"Газ";"руб/кв.м";"01.01.2006";"31.12.2006";"нет";"";"";"дома с отоплением от газовых нагревателей";"ООО «Мосрегионгаз»";"4.4";"19693250";
"город Москва";"Водоотведение";"руб/чел";"01.01.2007";"31.12.2007";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома с водопроводом, канализацией, без ванн, с газопроводом";"МГУП «Мосводоканал»";"35.6";"19693251";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2007";"31.12.2007";"да";"газовая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.52";"19693252";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2007";"31.12.2007";"да";"газовая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.08";"19693253";
"город Москва";"Отопление";"руб/Гкал";"01.01.2007";"31.12.2007";"да";"";"";"";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"620";"19693254";
"город Москва";"Горячее водоснабжение";"руб/куб.м";"01.01.2007";"31.12.2007";"да";"";"";"";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"48.2";"19693255";
"город Москва";"Газ";"руб/куб.м";"01.01.2007";"31.12.2007";"да";"";"";"на отопление жилых помещений, а также в случае использования для учета объема потребленного газа одного прибора учета при одновременном использовании газа по нескольким направлениям его потребления, для которых устанавливаются различные розничные цены";"ООО «Мосрегионгаз»";"1.24";"19693256";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с многоточечными газовыми нагревателями";"МГУП «Мосводоканал»";"116.34";"19693257";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"51.76";"19693258";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома с водопроводом, канализацией, без ванн, с газопроводом";"МГУП «Мосводоканал»";"53.92";"19693259";
"город Москва";"Водоотведение";"руб/куб.м";"01.01.2008";"31.12.2008";"да";"";"";"";"МГУП «Мосводоканал»";"9.1";"19693260";
"город Москва";"Водоотведение";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"открытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"МГУП «Мосводоканал»";"106.28";"19693261";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2008";"31.12.2008";"да";"газовая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.59";"19693262";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2008";"31.12.2008";"да";"электрическая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"1.66";"19693263";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2008";"31.12.2008";"да";"электрическая";"с 10:00 по 23:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"1.4";"19693264";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2008";"31.12.2008";"да";"электрическая";"с 08:00 по 10:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"1.66";"19693265";
"город Москва";"Отопление";"руб/кв.м";"01.01.2008";"31.12.2008";"нет";"";"";"услуги отопления для граждан: нанимателей и собственников жилых помещений за общую площадь жилого помещения, превышающую установленную норму; нанимателей и собственников жилого помещения, имеющих более одного жилого помещения";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"16.14";"19693266";
"город Москва";"Горячее водоснабжение";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"272.9";"19693267";
"город Москва";"Газ";"руб/чел";"01.01.2008";"31.12.2008";"нет";"";"";"при наличии в квартире газовой плиты и централизованного горячего водоснабжения";"ООО «Мосрегионгаз»";"19.4";"19693268";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2009";"31.12.2009";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"МГУП «Мосводоканал»";"107.15";"19693269";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2009";"31.12.2009";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома с водопроводом, канализацией, без ванн, с газопроводом";"МГУП «Мосводоканал»";"70.61";"19693270";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2009";"31.12.2009";"нет";"";"";"вода из водозаборных колонок на хозяйственно-питьевые нужды";"МГУП «Мосводоканал»";"28.27";"19693271";
"город Москва";"Водоотведение";"руб/чел";"01.01.2009";"31.12.2009";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом, канализацией, ваннами с централизованным горячим водоснабжением";"МГУП «Мосводоканал»";"132.57";"19693272";
"город Москва";"Водоотведение";"руб/чел";"01.01.2009";"31.12.2009";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"82.97";"19693273";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2009";"31.12.2009";"да";"газовая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.01";"19693274";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2009";"31.12.2009";"да";"газовая";"с 10:00 по 17:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.54";"19693275";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2009";"31.12.2009";"да";"газовая";"с 21:00 по 23:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.54";"19693276";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2009";"31.12.2009";"да";"электрическая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.53";"19693277";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2009";"31.12.2009";"да";"электрическая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.11";"19693278";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2009";"31.12.2009";"да";"электрическая";"с 23:00 по 07:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.53";"19693279";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2009";"31.12.2009";"да";"электрическая";"с 10:00 по 17:00 ч (многотарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"1.78";"19693280";
"город Москва";"Отопление";"руб/Гкал";"01.01.2009";"31.12.2009";"да";"";"";"";"ОАО «МОЭК» и иные, кроме ОАО «Мосэнерго» и ОАО «МТК»";"955.8";"19693281";
"город Москва";"Газ";"руб/куб.м";"01.01.2009";"31.12.2009";"да/нет";"";"";"на прочие цели";"ООО «Мосрегионгаз»";"2.06";"19693282";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2010";"31.12.2010";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома гостиничного типа, оборудованные водопроводом, газом и горячим водоснабжением";"МГУП «Мосводоканал»";"87.06";"19693283";
"город Москва";"Холодное водоснабжение";"руб/чел";"01.01.2010";"31.12.2010";"нет";"";"";"вода из водозаборных колонок на хозяйственно-питьевые нужды";"МГУП «Мосводоканал»";"36.33";"19693284";
"город Москва";"Водоотведение";"руб/чел";"01.01.2010";"31.12.2010";"нет";"";"";"закрытая схема горячего водоснабжения: жилые дома, оборудованные водопроводом с газовыми нагревателями у ванн";"МГУП «Мосводоканал»";"136.66";"19693285";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2010";"31.12.2010";"да";"газовая";"с 23:00 по 07:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"0.86";"19693286";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2010";"31.12.2010";"да";"газовая";"с 07:00 по 23:00 ч (двухтарифный учет)";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"3.45";"19693287";
"город Москва";"Электроэнергия";"руб/кВт.ч";"01.01.2010";"31.12.2010";"да";"электрическая";"без дифференциации по времени потребления";"на бытовые нужды";"ОАО «Мосэнергосбыт»";"2.42";"19693288";
"город Москва";"Отопление";"руб/кв.м";"01.01.2010";"31.12.2010";"нет";"";"";"";"ОАО «МОЭК», ОАО «Мосэнерго», ОАО «МТК» и иные";"19.04";"19693289";
"город Москва";"Газ";"руб/чел";"01.01.2010";"31.12.2010";"нет";"";"";"при наличии в квартире газовой плиты и газового водонагревателя (при отсутствии централизованного горячего водоснабжения)";"ООО «Мосрегионгаз»";"72.77";"19693290";
